"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20170810,20171209
2,1,1,1,1,1,0,0,20170810,20171209
3,0,0,0,0,0,0,0,20170810,20171209
4,0,0,0,0,0,1,0,20170810,20171209
5,1,1,1,1,1,1,0,20170810,20171209
6,1,1,1,1,0,0,0,20170810,20171209
7,0,0,0,0,0,1,1,20170810,20171209
8,0,0,0,0,0,0,1,20170810,20171209
9,1,1,1,1,1,1,1,20170810,20171209
10,0,0,0,0,1,1,0,20170810,20171209
11,1,1,1,1,1,0,0,20170810,20171209
12,1,1,1,1,1,0,1,20170810,20171209
13,1,1,1,1,1,0,0,20170810,20171209
14,0,0,0,0,0,0,1,20170810,20171209
15,0,0,0,0,1,1,0,20170810,20171209
16,0,0,0,0,0,0,0,20170810,20171209
17,0,0,0,0,0,0,0,20170810,20171209
18,0,0,0,0,0,1,1,20170810,20171209
19,1,0,1,1,1,0,0,20170810,20171209
20,0,0,0,0,0,1,0,20170810,20171209
21,0,0,0,0,0,0,1,20170810,20171209
22,1,1,1,1,1,1,1,20170810,20171209
23,0,0,0,0,1,1,0,20170810,20171209
24,1,1,1,1,1,0,0,20170810,20171209
25,1,0,1,1,1,0,0,20170810,20171209
26,0,0,0,0,0,0,0,20170810,20171209
27,0,0,0,0,0,0,0,20170810,20171209
28,1,1,1,1,1,0,1,20170810,20171209
29,0,0,0,0,0,0,0,20170810,20171209
30,0,0,0,0,0,0,0,20170810,20171209
31,0,0,0,0,0,0,0,20170810,20171209
32,1,1,1,1,1,1,1,20170810,20171209
33,0,0,0,0,0,0,0,20170810,20171209
34,0,0,0,0,1,1,0,20170810,20171209
35,0,0,0,0,0,0,0,20170810,20171209
36,1,1,1,1,1,0,0,20170810,20171209
37,0,0,0,0,0,0,0,20170810,20171209
38,0,0,0,0,0,1,0,20170810,20171209
39,0,0,0,0,0,0,0,20170810,20171209
40,0,0,0,0,0,0,1,20170810,20171209
41,0,0,0,0,0,0,0,20170810,20171209
42,0,0,0,0,0,0,0,20170810,20171209
43,1,1,1,1,1,1,0,20170810,20171209
44,1,1,1,1,0,0,1,20170810,20171209
45,0,0,0,0,0,0,1,20170810,20171209
46,0,0,0,0,0,0,0,20170810,20171209
47,1,1,1,1,1,0,1,20170810,20171209
48,0,0,0,0,0,1,1,20170810,20171209
49,0,0,0,0,0,1,0,20170810,20171209
50,0,0,0,0,1,0,0,20170810,20171209
51,1,1,1,1,0,0,0,20170810,20171209
52,0,0,0,0,1,0,0,20170810,20171209
53,1,1,1,1,0,0,0,20170810,20171209
54,1,1,1,1,1,0,0,20170810,20171209
55,0,0,0,0,0,0,0,20170810,20171209
56,0,0,0,0,1,0,0,20170810,20171209
57,0,0,0,0,0,0,0,20170810,20171209
58,1,1,1,1,0,0,0,20170810,20171209
59,0,0,0,0,0,0,0,20170810,20171209
60,1,1,1,1,0,0,0,20170810,20171209
61,1,1,1,1,1,1,1,20170810,20171209
62,0,0,0,0,0,1,0,20170810,20171209
63,0,0,0,0,0,1,1,20170810,20171209
64,1,1,1,1,1,1,1,20170810,20171209
65,1,1,1,1,0,0,1,20170810,20171209
66,0,0,0,0,1,1,0,20170810,20171209
67,0,0,0,0,0,0,0,20170810,20171209
68,0,0,0,0,0,0,0,20170810,20171209
69,0,0,0,0,0,0,0,20170810,20171209
70,0,0,0,0,0,0,0,20170810,20171209
71,0,0,0,0,0,1,0,20170810,20171209
72,0,0,0,0,0,1,1,20170810,20171209
73,0,0,0,0,0,1,1,20170810,20171209
74,0,0,0,0,0,0,0,20170810,20171209
75,1,1,1,1,1,1,1,20170810,20171209
