"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
4973_3,72,"3860","Zeven > Heeslingen > Sittensen >Tostedt",3,"","",""
4974_3,72,"4860","Heidenau > Halvesbostel > Heidenau > Bf. Tostedt",3,"","",""
4975_3,72,"2401","Sauensiek  > Griemshorst  > Harsefeld",3,"","",""
4976_3,72,"2405","Harsefeld > Apensen > Buxtehude",3,"","",""
1281_3,66,"10","%UB Wandsbek Markt > Bf. Wandsbek > Jenfeld (Glatzer Straße)",3,"","",""
1282_3,66,"109","%UB Alsterdorf > Winterhude > Harvestehude > Hauptbahnhof/ZOB",3,"","",""
1284_3,66,"112","Neumühlen > Hauptbahnhof > Hamm (Osterbrookplatz)",3,"","",""
1285_3,66,"114","Lufthansa-Basis > %UB Lattenkamp > Eppendorf > %UB Klosterstern",3,"","",""
1286_3,66,"116","Am Hohen Hause (Rentenv.) > %UB Wandsbek Markt > %UB Billstedt",3,"","",""
1288_3,66,"118","%UB Fuhlsbüttel >  %UB Wandsbek-Gartenstadt",3,"","",""
1289_3,66,"13","%SB Veddel > %SB Wilhelmsburg > Kirchdorf (Süd)",3,"","",""
1290_3,66,"14","Eißendorf > Bf. Harburg > Sinstorf > Fleestedt",3,"","",""
1292_3,66,"141","%SB Neugraben > Bf. Harburg > Meckelfeld, Schulzentrum",3,"","",""
1293_3,66,"142","Heimfeld > Bf. Harburg > Hafen Harburg",3,"","",""
1294_3,66,"143","Eißendorf > Bf. Harburg > Sinstorf > Beckedorf",3,"","",""
1295_3,66,"144","Appelbüttel > Bf. Harburg",3,"","",""
1296_3,66,"145","Marmstorf > Bf. Harburg > Freizeitbad MidSommerland",3,"","",""
1297_3,66,"150","Cranz > Finkenwerder > Waltershof > Othmarschen > Bf. Altona",3,"","",""
1298_3,66,"151","Altenwerder > Dradenau > Waltershof > %SB Wilhelmsburg",3,"","",""
1299_3,66,"152","Neuhof > %SB Wilhelmsburg > Friedhof Finkenriek > %SB Harburg Rathaus",3,"","",""
1300_3,66,"153","Eversween (Süd) > Auf der Hohen Schaar > Kornweide > Bf. Harburg",3,"","",""
1301_3,66,"154","%UB %SB Berliner Tor > %SB Wilhelmsburg > Kornweide > Bf. Harburg",3,"","",""
