"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000000010001,000000010002,2,180,,,,
000000010001,000000010905,2,420,,,,
000000010001,000000010906,2,240,,,,
000000010001,000000010950,2,360,,,,
000000010002,000000010001,2,180,,,,
000000010002,000000010905,2,420,,,,
000000010002,000000010906,2,300,,,,
000000010002,000000010950,2,360,,,,
000000010002,000000010092,2,300,,,,
000000010004,000000010952,2,180,,,,
000000010004,000000109108,2,180,,,,
000000010004,000000109109,2,180,,,,
000000010004,000000109110,2,180,,,,
000000010004,000000109111,2,180,,,,
000000010004,090000109010,2,240,,,,
000000010004,090000109011,2,240,,,,
000000010004,090000109020,2,240,,,,
000000010004,090000109021,2,240,,,,
000000010004,000000010003,2,240,,,,
000000010004,000000109119,2,180,,,,
000000010006,000000010908,2,120,,,,
000000010009,000000010909,2,180,,,,
000000010009,090000109024,2,180,,,,
000000010009,090000109025,2,180,,,,
000000010011,000000010905,2,240,,,,
000000010011,000000010906,2,480,,,,
000000010011,000000010950,2,300,,,,
000000010014,000000010056,2,240,,,,
000000010018,000000010954,2,180,,,,
000000010018,000000109116,2,180,,,,
000000010018,000000109117,2,180,,,,
000000010019,000000010020,2,180,,,,
000000010020,000000010019,2,180,,,,
000000010024,000000010907,2,180,,,,
000000010024,090000109018,2,180,,,,
000000010024,090000109019,2,180,,,,
000000010030,000000061950,2,180,,,,
000000010030,000000619100,2,180,,,,
000000010030,000000619101,2,180,,,,
000000010038,000000010951,2,300,,,,
000000010047,000000010953,2,180,,,,
000000010048,000000010902,2,240,,,,
000000010049,000000010903,2,180,,,,
000000010049,090000109008,2,180,,,,
000000010049,090000109009,2,180,,,,
000000010050,000000010903,2,600,,,,
000000010051,000000010905,2,300,,,,
000000010051,000000010906,2,300,,,,
000000010051,000000010950,2,240,,,,
000000010900,000000070075,2,120,,,,
000000010901,000000060015,2,120,,,,
000000010902,000000010048,2,240,,,,
000000010903,000000010049,2,180,,,,
000000010905,000000010001,2,420,,,,
000000010905,000000010002,2,420,,,,
000000010905,000000010011,2,240,,,,
000000010905,000000010051,2,300,,,,
000000010905,000000010906,2,360,,,,
000000010905,000000010950,2,300,,,,
000000010905,000000011001,2,480,,,,
000000010905,000000010092,2,480,,,,
000000010906,000000010001,2,240,,,,
000000010906,000000010002,2,300,,,,
000000010906,000000010011,2,480,,,,
000000010906,000000010051,2,300,,,,
000000010906,000000010905,2,360,,,,
000000010906,000000010950,2,300,,,,
000000010906,000000011001,2,480,,,,
000000010906,000000010092,2,300,,,,
000000010907,000000010024,2,180,,,,
000000010908,000000010006,2,120,,,,
000000010909,000000010009,2,180,,,,
000000010950,000000010001,2,360,,,,
000000010950,000000010002,2,360,,,,
000000010950,000000010011,2,300,,,,
000000010950,000000010051,2,240,,,,
000000010950,000000010905,2,300,,,,
000000010950,000000010906,2,300,,,,
000000010950,000000011001,2,300,,,,
000000010950,000000010092,2,360,,,,
000000010951,000000010038,2,300,,,,
000000010951,000000010060,2,300,,,,
000000010952,000000010004,2,180,,,,
000000010953,000000010047,2,180,,,,
000000010954,000000010018,2,180,,,,
000000011001,000000010905,2,480,,,,
000000011001,000000010906,2,480,,,,
000000011001,000000010950,2,300,,,,
000000011002,000000011904,2,180,,,,
000000011002,090000119008,2,180,,,,
000000011002,090000119009,2,180,,,,
000000011003,000000011905,2,120,,,,
000000011003,000000011950,2,300,,,,
000000011004,000000011906,2,180,,,,
000000011004,090000119012,2,180,,,,
000000011004,090000119013,2,180,,,,
000000011006,000000011903,2,360,,,,
000000011006,090000119006,2,360,,,,
000000011006,090000119007,2,360,,,,
000000011012,000000011910,2,180,,,,
000000011012,090000119020,2,180,,,,
000000011012,090000119021,2,180,,,,
000000011013,000000011022,2,600,,,,
000000011013,000000011901,2,120,,,,
000000011013,000000011951,2,600,,,,
000000011014,000000011909,2,180,,,,
000000011014,090000119018,2,180,,,,
000000011014,090000119019,2,180,,,,
000000011017,000000011911,2,120,,,,
000000011019,000000011035,2,480,,,,
000000011022,000000011013,2,600,,,,
000000011022,000000011901,2,600,,,,
000000011022,000008002548G,2,360,,,,
000000011027,000000011900,2,180,,,,
000000011029,000000090908,2,120,,,,
000000011029,090000909018,2,120,,,,
000000011029,090000909019,2,120,,,,
000000011038,000000011910,2,480,,,,
000000011041,000000011907,2,120,,,,
000000011900,000000011027,2,180,,,,
000000011901,000000011013,2,120,,,,
000000011901,000000011022,2,600,,,,
000000011901,000000011951,2,600,,,,
000000011901,000008002548G,2,900,,,,
000000011903,000000011006,2,360,,,,
000000011904,000000011002,2,180,,,,
000000011905,000000011003,2,120,,,,
000000011905,000000011950,2,300,,,,
000000011906,000000011004,2,180,,,,
000000011907,000000011041,2,120,,,,
000000011909,000000011014,2,180,,,,
000000011910,000000011012,2,180,,,,
000000011911,000000011017,2,120,,,,
000000011950,000000011003,2,300,,,,
000000011950,000000011905,2,300,,,,
000000011950,000000011020,2,300,,,,
000000011951,000000011013,2,600,,,,
000000011951,000000011901,2,600,,,,
000000011951,000008002548G,2,300,,,,
000000020006,000000020052,2,120,,,,
000000020006,000000020053,2,120,,,,
000000021014,000000021951,2,120,,,,
000000021040,000000021952,2,180,,,,
000000021051G,000000021065,2,120,,,,
000000021051G,000000021953,2,120,,,,
000000021061,000000021953,2,540,,,,
000000021065,000000021051G,2,120,,,,
000000021065,000000021953,2,120,,,,
000000021065,000000219107,2,120,,,,
000000021065,000000219108,2,120,,,,
000000021069,000000021950,2,120,,,,
000000021069,000000219100,2,120,,,,
000000021069,000000219101,2,120,,,,
000000021950,000000021069,2,120,,,,
000000021951,000000021014,2,120,,,,
000000021952,000000021040,2,180,,,,
000000021952,000000023018,2,300,,,,
000000021952,000000023073,2,240,,,,
000000021953,000000021051G,2,120,,,,
000000021953,000000021061,2,540,,,,
000000021953,000000021065,2,120,,,,
000000022000,000000022901,2,120,,,,
000000022000,090000229002,2,120,,,,
000000022000,090000229003,2,120,,,,
000000022004,000000022900,2,240,,,,
000000022004,090000229000,2,240,,,,
000000022004,090000229001,2,240,,,,
000000022011G,000000022901,2,120,,,,
000000022020,000000022902,2,120,,,,
000000022023,000000022048,2,180,,,,
000000022048,000000022023,2,180,,,,
000000022900,000000022004,2,240,,,,
000000022901,000000022000,2,120,,,,
000000022902,000000022020,2,120,,,,
000000023014,000000023016,2,240,,,,
000000023016,000000023014,2,240,,,,
000000023018,000000021952,2,300,,,,
000000023073,000000021952,2,240,,,,
000000024054,000000240254,2,120,,,,
000000025020,000000025951,2,180,,,,
000000025020,000000259104,2,180,,,,
000000025020,000000259105,2,180,,,,
000000025001,000000025950,2,240,,,,
000000025001,000000259100,2,240,,,,
000000025001,000000259101,2,240,,,,
000000025900,000008002113G,2,480,,,,
000000025903,000000025953,2,180,,,,
000000025950,000000025001,2,240,,,,
000000025951,000000025020,2,180,,,,
000000025953,000000025903,2,180,,,,
000000029042,000008003577G,2,240,,,,
000000034001,000008000446G,2,240,,,,
000000035041,000000035042,2,180,,,,
000000034009,000000034900,2,120,,,,
000000034009,090000349002,2,120,,,,
000000034009,090000349003,2,120,,,,
000000034900,000000034009,2,120,,,,
000000035015,000000035016,2,480,,,,
000000035016,000000035015,2,480,,,,
000000035016,000000035901,2,120,,,,
000000035016,090000359004,2,120,,,,
000000035016,090000359005,2,120,,,,
000000035073,000000035904,2,240,,,,
000000035073,000000035030,2,120,,,,
000000035033,000000035903,2,120,,,,
000000035033,090000359008,2,120,,,,
000000035033,090000359009,2,120,,,,
000000035042,000000035041,2,180,,,,
000000035043,000000035902,2,120,,,,
000000035043,090000359006,2,120,,,,
000000035043,090000359007,2,120,,,,
000000035046,000000035070,2,240,,,,
000000035901,000000035016,2,120,,,,
000000035902,000000035043,2,120,,,,
000000035903,000000035033,2,120,,,,
000000035904,000000035073,2,240,,,,
000000035904,000000035030,2,240,,,,
000000036007,000000036902,2,120,,,,
000000036071,000000036961,2,120,,,,
000000036902,000000036007,2,120,,,,
000000036961,000000036071,2,120,,,,
000000037002,000000037965,2,120,,,,
000000037004,000000037964,2,180,,,,
000000037008,000000037963,2,180,,,,
000000037016,000000037971,2,120,,,,
000000037039,000000037962,2,420,,,,
000000037041,000000037961,2,120,,,,
000000037072,000000037966,2,480,,,,
000000037127,000000037965,2,660,,,,
000000037903,000000075338,2,240,,,,
000000037960,000000075141,2,120,,,,
000000037961,000000037041,2,120,,,,
000000037962,000000037039,2,420,,,,
000000037962,000000038514,2,60,,,,
000000037963,000000037008,2,180,,,,
000000037964,000000037004,2,180,,,,
000000037965,000000037002,2,120,,,,
000000037967,000000098053,2,120,,,,
000000037968,000000098052,2,600,,,,
000000037968,000000098812,2,120,,,,
000000037971,000000037016,2,120,,,,
000000037973,000000075006,2,240,,,,
000000037976,600000035019,2,300,,,,
000000037977,000000075414,2,120,,,,
000000037978,000000080261,2,360,,,,
000000037979,000000037176,2,180,,,,
000000037980,000000075259,1,,,,,
000000037981,000000075016,2,120,,,,
000000037981,000000075007,2,480,,,,
000000037983,000000075072,1,,,,,
000000037985,000000075000,2,180,,,,
000000037988,000000075719,2,180,,,,
000000037989,000000075536,2,480,,,,
000000037993,000000075239,2,180,,,,
000000040004,000000040950,2,180,,,,
000000040013,000000040950,2,240,,,,
000000040014,000000040950,2,240,,,,
000000040950,000000040004,2,180,,,,
000000040950,000000040013,2,240,,,,
000000040950,000000040014,2,240,,,,
000000041009,000000041059,2,360,,,,
000000041019,000000041951,2,180,,,,
000000041036,000000041950,2,120,,,,
000000041950,000000041036,2,120,,,,
000000041951,000000041019,2,180,,,,
000000042018,000000042950,2,120,,,,
000000042950,000000042018,2,120,,,,
000000043040,000008003929G,2,120,,,,
000000043058,000000040002,2,420,,,,
000000043952,000008002864G,2,120,,,,
000000043905,000008002864G,2,360,,,,
000000049001,000008000147G,2,480,,,,
000000049950,000008000147G,2,420,,,,
000000051005,000000051982,2,120,,,,
000000051008,000000051023,2,120,,,,
000000051008,000000051933,2,240,,,,
000000051014,000000051980,2,180,,,,
000000051023,000000051008,2,120,,,,
000000051023,000000051933,2,720,,,,
000000051933,000000051008,2,240,,,,
000000051933,000000051023,2,720,,,,
000000051933,000000051984,2,600,,,,
000000051933,000000010166,2,480,,,,
000000051933,000000010150,2,600,,,,
