"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
4973_3,1,14519385,"Heeslingen, Wiersdorf","",0,,2
4973_3,1,14519384,"Tiste, Burgsittensen","",0,,4
4973_3,2,14519400,"Bf. Tostedt","",0,,5
4973_3,2,14519399,"Bf. Tostedt","",0,,5
4973_3,1,14519383,"Bf. Tostedt","",0,,7
4973_3,3,14519398,"Bf. Tostedt","",0,,5
4973_3,1,14519382,"Bf. Tostedt","",0,,7
4973_3,3,14519397,"Bf. Tostedt","",0,,5
4973_3,4,14519393,"Bf. Tostedt","",0,,5
4973_3,2,14519396,"Bf. Tostedt","",0,,5
4973_3,2,14519395,"Bf. Tostedt","",0,,5
4973_3,1,14519379,"Sittensen, Schule","",0,,3
4973_3,1,14519391,"Sittensen, Bahnhofstraße","",0,,6
4973_3,2,14519394,"Bf. Tostedt","",0,,5
4973_3,1,14519390,"Bf. Tostedt","",0,,8
4973_3,3,14519381,"Bf. Tostedt","",0,,5
4973_3,4,14519392,"Bf. Tostedt","",0,,5
4973_3,2,14519389,"Bf. Tostedt","",0,,5
4973_3,2,14519388,"Bf. Tostedt","",0,,5
4973_3,2,14519387,"Bf. Tostedt","",0,,5
4973_3,2,14519386,"Bf. Tostedt","",0,,5
4973_3,1,14519380,"Heeslingen, Wiersdorf","",0,,1
4973_3,1,14519362,"Zeven, Scheeßeler Straße GS","",1,,9
4973_3,1,14519378,"Heeslingen, Schule","",1,,12
4973_3,3,14519377,"Zeven, Bahnhof Süd","",1,,11
4973_3,1,14519363,"Zeven, Scheeßeler Straße GS","",1,,10
4973_3,2,14519376,"Zeven, Bahnhof Süd","",1,,11
4973_3,2,14519375,"Zeven, Bahnhof Süd","",1,,11
4973_3,2,14519374,"Zeven, Bahnhof Süd","",1,,11
4973_3,5,14519373,"Zeven, Bahnhof Süd","",1,,11
4973_3,2,14519372,"Zeven, Bahnhof Süd","",1,,11
4973_3,2,14519371,"Zeven, Bahnhof Süd","",1,,11
4973_3,2,14519370,"Zeven, Bahnhof Süd","",1,,11
4973_3,2,14519369,"Zeven, Bahnhof Süd","",1,,11
4973_3,5,14519368,"Zeven, Bahnhof Süd","",1,,11
4973_3,2,14519367,"Zeven, Bahnhof Süd","",1,,11
4973_3,2,14519366,"Zeven, Bahnhof Süd","",1,,11
4974_3,2,15601523,"Heidenau, Zu den Höfen","",1,,19
4974_3,3,15601514,"Heidenau, Birkenbüschen","",1,,22
4974_3,5,15601522,"Heidenau, Zu den Höfen","",1,,19
4974_3,3,15601513,"Heidenau, Birkenbüschen","",1,,22
4974_3,3,15601521,"Heidenau, Zu den Höfen","",1,,19
4974_3,1,15601511,"Heidenau, Zu den Höfen","",1,,20
4974_3,2,15601520,"Heidenau, Zu den Höfen","",1,,19
4974_3,4,15601516,"Heidenau, Zu den Höfen","",1,,19
4974_3,2,15601512,"Heidenau, Birkenbüschen","",1,,22
4974_3,2,15601519,"Heidenau, Zu den Höfen","",1,,19
4974_3,2,15601518,"Heidenau, Zu den Höfen","",1,,19
4974_3,1,15601525,"Heidenau, Birkenbüschen","",1,,18
4974_3,1,15601524,"Heidenau, Birkenbüschen","",1,,18
4974_3,2,15601537,"Bf. Tostedt","",0,,16
4974_3,2,15601538,"Bf. Tostedt","",0,,16
4974_3,2,15601529,"Bf. Tostedt","",0,,16
4974_3,5,15601536,"Bf. Tostedt","",0,,16
4974_3,2,15601535,"Bf. Tostedt","",0,,16
4974_3,2,15601534,"Bf. Tostedt","",0,,16
4974_3,2,15601533,"Bf. Tostedt","",0,,16
4974_3,4,15601530,"Bf. Tostedt","",0,,16
4974_3,2,15601532,"Bf. Tostedt","",0,,16
4974_3,3,15601528,"Bf. Tostedt","",0,,13
4974_3,1,15601526,"Tostedt, GS Poststraße","",0,,17
4974_3,2,15601540,"Heidenau, Zu den Höfen","",0,,15
4974_3,2,15601527,"Bf. Tostedt","",0,,13
4974_3,1,15601539,"Bf. Tostedt","",0,,14
4974_3,1,15601515,"Bf. Tostedt","",1,,21
4975_3,1,14519436,"Harsefeld, Schulzentrum","",0,,31
4975_3,1,14519438,"Bf. Harsefeld","",0,,30
4975_3,1,14519437,"Harsefeld, Schulzentrum","",0,,32
4975_3,1,14519434,"Sauensiek, Schule","",1,,34
4975_3,1,14519433,"Harsefeld, Griemshorst","",1,,36
4975_3,1,14519432,"Sauensiek, Schule","",1,,35
4975_3,1,14519431,"Sauensiek, Schule","",1,,35
4975_3,6,14519435,"Sauensiek, Schule","",1,,33
4976_3,1,14519446,"Buxtehude, ZOB","",0,,24
4976_3,1,14519445,"Buxtehude, ZOB","",0,,23
4976_3,1,14519444,"Buxtehude, ZOB","",0,,23
4976_3,1,14519442,"Bf. Harsefeld","",1,,27
4976_3,1,14519440,"Bf. Apensen","",1,,25
4976_3,1,14519443,"Apensen, Stader Straße","",1,,26
4976_3,1,14519439,"Ruschwedel, Ruschwedeler Straße","",1,,28
4976_3,1,14519441,"Bf. Harsefeld","",1,,29
1281_3,7,15106777,"Glatzer Straße","",0,,78
1281_3,7,15106778,"Glatzer Straße","",0,,78
1281_3,2,15106815,"Glatzer Straße","",0,,78
1281_3,8,15106779,"Glatzer Straße","",0,,78
1281_3,2,15106619,"Glatzer Straße","",0,,78
1281_3,4,15106776,"Glatzer Straße","",0,,78
1281_3,2,15106616,"Glatzer Straße","",0,,78
1281_3,2,15106618,"Glatzer Straße","",0,,78
1281_3,8,15106789,"Glatzer Straße","",0,,78
1281_3,2,15106615,"Glatzer Straße","",0,,78
1281_3,2,15106617,"Glatzer Straße","",0,,78
1281_3,4,15106700,"Glatzer Straße","",0,,78
1281_3,2,15106774,"Glatzer Straße","",0,,78
1281_3,2,15106729,"Glatzer Straße","",0,,78
1281_3,8,15106714,"Glatzer Straße","",0,,78
1281_3,2,15106728,"Glatzer Straße","",0,,78
1281_3,2,15106773,"Glatzer Straße","",0,,78
1281_3,4,15106699,"Glatzer Straße","",0,,78
1281_3,2,15106727,"Glatzer Straße","",0,,78
1281_3,2,15106772,"Glatzer Straße","",0,,78
1281_3,7,15106713,"Glatzer Straße","",0,,78
1281_3,2,15106726,"Glatzer Straße","",0,,78
1281_3,2,15106771,"Glatzer Straße","",0,,78
1281_3,4,15106698,"Glatzer Straße","",0,,78
1281_3,2,15106770,"Glatzer Straße","",0,,78
1281_3,2,15106769,"Glatzer Straße","",0,,78
1281_3,7,15106712,"Glatzer Straße","",0,,78
1281_3,2,15106768,"Glatzer Straße","",0,,78
1281_3,2,15106767,"Glatzer Straße","",0,,78
1281_3,4,15106697,"Glatzer Straße","",0,,78
1281_3,2,15106766,"Glatzer Straße","",0,,78
1281_3,2,15106765,"Glatzer Straße","",0,,78
1281_3,7,15106711,"Glatzer Straße","",0,,78
1281_3,2,15106730,"Glatzer Straße","",0,,78
1281_3,2,15106764,"Glatzer Straße","",0,,78
1281_3,4,15106696,"Glatzer Straße","",0,,78
1281_3,2,15106763,"Glatzer Straße","",0,,78
1281_3,8,15106702,"Glatzer Straße","",0,,78
1281_3,2,15106762,"Glatzer Straße","",0,,78
1281_3,4,15106695,"Glatzer Straße","",0,,78
1281_3,2,15106761,"Glatzer Straße","",0,,78
1281_3,4,15106552,"Glatzer Straße","",0,,78
1281_3,8,15106701,"Glatzer Straße","",0,,78
1281_3,2,15106760,"Glatzer Straße","",0,,78
1281_3,4,15106613,"Glatzer Straße","",0,,78
1281_3,2,15106759,"Glatzer Straße","",0,,78
1281_3,4,15106612,"Glatzer Straße","",0,,78
1281_3,8,15106710,"Glatzer Straße","",0,,78
1281_3,2,15106758,"Glatzer Straße","",0,,78
1281_3,4,15106611,"Glatzer Straße","",0,,78
1281_3,2,15106757,"Glatzer Straße","",0,,78
1281_3,4,15106610,"Glatzer Straße","",0,,78
1281_3,8,15106709,"Glatzer Straße","",0,,78
1281_3,2,15106756,"Glatzer Straße","",0,,78
1281_3,4,15106609,"Glatzer Straße","",0,,78
1281_3,2,15106775,"Glatzer Straße","",0,,78
1281_3,4,15106608,"Glatzer Straße","",0,,78
1281_3,8,15106708,"Glatzer Straße","",0,,78
1281_3,2,15106755,"Glatzer Straße","",0,,78
1281_3,4,15106607,"Glatzer Straße","",0,,78
1281_3,2,15106754,"Glatzer Straße","",0,,78
1281_3,4,15106606,"Glatzer Straße","",0,,78
1281_3,8,15106707,"Glatzer Straße","",0,,78
1281_3,2,15106753,"Glatzer Straße","",0,,78
1281_3,4,15106605,"Glatzer Straße","",0,,78
